综合,2016-02/19,中国中远集团成为希腊最大港口首选投资者,新华社雅典2月17日电负责推进希腊国有资产私有化的希腊私有化基金17日宣布，中国中远集团已正式成为该国最大港口私有化项目的“首选投资者”。希腊私有化基金在一份声明中说，中远集团根据投标程序，获得了比雷埃夫斯港务局67%的股份。此前，私有化基金宣布接受中远集团以3.685亿欧元购买比雷埃夫斯港务局多数股权。声明说，相关文件将直接提交给希腊审计法院，获得批准后双方将签订合同。该交易还需要其他机构批准，整个程序预计在今年5月完成。在私有化基金发表上述声明前一天，希腊最高行政法院驳回了若干团体针对比雷埃夫斯港务局和北部港口塞萨洛尼基私有化的反对意见。希腊经济和工业研究基金会等研究机构认为，从长期来看，中远集团在比港的发展计划每年将为希腊经济贡献51亿欧元，并在2052年合约到期前创造12.5万个工作岗位。希腊经济学教授、前海运部秘书长扬尼斯·措安诺斯认为，尽管有一些人对该项目持怀疑态度，但这是一个双赢的项目，它将给希腊经济带来更多投资。希腊2010年提出了总额500亿欧元的私有化目标，但执行进度远远落后于计划。希腊今年的目标是通过私有化筹集约25亿欧元资金。
证券,2016-02/19,楚天科技布局智慧医药,楚天科技（300358）：公司主营业务为水剂类制药装备，致力于为制药企业提供制药装备解决方案。目前，公司已成为国内领先的水剂类制药装备提供商，产品的技术和销量居全国行业前列。公司立足水剂类制药装备，拓展产品链，发掘新产品，同时布局医药工业4.0及先进医疗设备。公司战略规划构建“一纵一横一平台”的产品服务网络，水剂类制药装备产业链不断完善。公司收购新华通(现已更名为楚天华通)、四川省医药设计院，分别完善了制水和设计环节。开发医药机器人，布局医药4.0。公司与华中科技大学合作开发医药机器人,主要用于提高制药过程的智能化。同时公司收购上海睿想信息科技公司，加强智慧工厂的信息化管理，进一步完善计算机化系统GMP改造。延伸先进医疗设备。公司与国防科技大学合作开发外骨骼机器人，公司控股股东楚天投资公司与湖南佑立签订增资协议，有望进入肿瘤治疗设备领域。投资评级：增持。海通证券
品鉴,2016-02/19,两部电影让动漫迷“解馋”,□记者王峰昨日，日本动漫电影《火影忍者：博人传》在中国内地正式上映，首日票房超过1600万。2月26日，另外一部同类电影《圣斗士星矢》也将引领一股怀旧风潮。对于日本动漫迷来说，二月下旬将是“解馋”时段，而留给中国动漫产业的课题依然是“努力”和“超越”。2015年夏天，《火影忍者》在日本上映后19天票房突破20亿日元，是该系列票房最高的一部。截至大河报记者昨天发稿时，《火影忍者》在国内的首日票房成绩为1628万元，在《美人鱼》等春节档大片的余威下，能取得如此成绩已实属不易。据介绍，由岸本齐史创作的《火影忍者》系列漫画于1999年开始连载，已在2014年全部完结。《火影忍者》是首部被引进到中国国内的“火影”作品，它的上映对于粉丝来说无疑是一场狂欢，作为一部优秀电影，它对普通观众的吸引力也不容小觑。据郑州二七万达影城企划人员连安迪介绍，该影城特地为《火影忍者》打造了一场“火影之夜”，影迷不但可以在大银幕上看电影，还能在观影同时在手机上体验互动游戏。相比之下，问世三十年，曾让70、80后集体为之疯狂的《圣斗士星矢》更让观众期待。漫画版《圣斗士星矢》由日本漫画家车田正美于1985年开始连载，1986年起推出动画电视片，成为一代人的童年印记。这次电影版主要改编了《黄道十二宫篇》，有影迷感叹，“想想冰河的‘极光处刑’、紫龙的‘庐山升龙霸’、瞬的‘星云锁链’、星矢的‘天马流星拳’、一辉的‘凤凰天翔’将要在大银幕上呈现，真让人热血沸腾”。作为动漫大国，日本动漫电影近年来并没有在中国掀起太大风潮，能够引起共鸣的也就是《哆啦A梦》、《名侦探柯南》等国人熟悉的动漫作品。相比之下，中国动漫电影数量在2016年将迎来历史新高。日前，国家新闻出版广电总局公布了2016年新一批电影立项剧本，其中国产动漫电影共计35部，创下了历史纪录。除了光线影业创立“彩条屋”动漫品牌后即将推出的《暴走漫画之白日梦》、《八仙过大海》、《姜子牙》等多部作品外，《地道战》、《花仙子》、《聂小倩》那些当年活跃在电视荧屏上的童年记忆也将纷纷登上大银幕。
证券,2016-02/19,大盘窄幅整理关注传统行业,周四沪深股指窄幅振荡，经过节后三个交易日的连续上涨之后，周四沪指小幅收跌，继续运行在2800点整数关口上方，两市量能较上个交易日略有放大。从盘中看，周四两市概念板块涨少跌多，工程机械、建材、特种钢、海上丝绸和石墨烯等概念板块涨幅居前，而航空、石油、酿酒、保险板块跌幅居前。市场经过连续上涨之后，市场活跃度有所降低，但两会召开在即，市场对两会预期有望逐渐升温，两会概念相关品种投资机会仍值得期待。从基本面情况看，央行发布数据显示，1月新增人民币贷款2.5万亿，刷新历史记录。基于1月信贷超预期投放，政府近期的一系列政策动向来判断，2016年财政宽松力度或将进一步加大，基建投资增速将有较高增长，叠加稳增长将为3月两会重要议题。2016年或将是真正意义的去产能元年，中央施政重心从需求侧向供给侧倾斜，产能调整从控制增量向清理存量过渡，本轮供给侧改革政策出台节奏上远较1997年~2000年改革迅速，最新出台的相关行业供给侧改革内容全面、具体、有针对性，关键指标细化量化，显得游刃有余，体现中央政府对于上一轮供给侧改革经验的纠错和学习效应，供给侧改革也有望成为两会关注的焦点。操作策略上，两会召开前夕，投资者可关注煤炭、钢铁、水泥和有色金属等传统行业。民生证券
证券,2016-02/19,纺织股迎来互联网春风,证券,2016-02/19,豫股高开低走,周四豫股指数早盘小幅高开后振荡走高，午后振荡回落，收盘于8761.87点，上涨1.02%，成交金额179.19亿元，连续4日放量。73家豫股上市公司中，5家停牌，2家平盘，26家上涨，40家下跌。其中洛阳玻璃涨停，佰利联、太龙药业等个股也涨幅居前，涨幅均在6%以上，其余红盘个股涨幅较小；中航光电、辉煌科技等个股跌幅居前。从盘面上看，豫股指数经过连续4日上涨后，周四在盘中一度越过30日均线，但遭遇压力回调，收出较长上影，随着反弹行情的深入，预计后市将陷入振荡模式。大盘方面，在开年连续拉出三根阳线后，周四A股反弹似乎遭遇阻力，沪指冲高回落，最终小幅收跌。随着A股连续上涨后，出现一定程度的回调整理也在情理之中，注意不追高就好。在豫股投资机会上，建议适度参与反弹，操作方法上可以利用盘中波动滚动操作，但不追涨也不追加仓位，以免后市被动。投资标的可以选择前期跌幅较大，近两日明显放量的小盘股操作。中原证券
综合,2016-02/19,物价温和上涨有利经济回暖,据新华社电国家统计局18日发布的数据显示，2016年1月份全国居民消费价格总水平（CPI）同比上涨1.8%，涨幅比上月提高0.2个百分点，已连续3个月出现回升。业内专家分析认为，1月份物价涨幅回升主要由于猪肉、鲜菜、出行旅游等价格的上涨，随着国家稳增长措施效果的显现，物价涨幅温和回升态势有望获得支撑，这将有利于经济进一步回暖。国家统计局数据显示，1月份食品烟酒价格同比上涨3.6%，影响CPI上涨约1.07个百分点。其中，鲜菜价格上涨14.7%，畜肉类价格上涨10.8%，水产品价格上涨2.7%，成为影响1月CPI同比上涨的主要因素。分析1月份CPI同比涨幅环比扩大0.2个百分点原因，国家统计局城市司高级统计师余秋梅认为，强寒潮天气影响了鲜菜、鲜果的生产和运输；寒假、春运期间出行人数增加，交通和旅游价格上涨明显；临近春节，居民对服务需求增加，部分服务项目价格上涨较多，都推动了1月份CPI环比上涨。具体看，猪肉、鲜菜、飞机票、旅行社收费价格同比分别上涨18.8%、14.7%、11.8%、4.2%；部分服务价格同比涨幅较高，家政服务、美发、衣着洗涤保养、美容等价格同比分别上涨7.4%、5.5%、4.0%和3.1%。业内专家分析认为，猪肉等部分农副产品价格走强、房价连续上涨及货币供应增速加快等因素，都给今年一季度甚至上半年整体物价继续走强带来支撑。非食品方面，房价的连续上涨也对物价提供了支撑。国家统计局发布的统计数据显示，2015年12月份全国70个大中城市新建商品住宅和二手住宅价格延续上月走势，环比继续小幅上涨，其中二手住宅价格环比综合平均涨幅比上月还扩大0.2个百分点。部分专家认为，物价的温和上涨有利于经济回暖，并且当前我国物价上涨整体仍处于较低水平，这也为政策调控提供了较大空间。人民银行、国家发展改革委等8部门近日联合印发了《关于金融支持工业稳增长调结构增效益的若干意见》，将从加强货币信贷政策支持、营造良好的货币金融环境等多个角度支持工业转型升级、降本增效。兴业银行首席经济学家鲁政委认为，随着工业增速企稳，预计一季度经济增速将暂停下滑趋势。近日，人民银行发布的中国货币政策执行报告指出，2015年第四季度城镇储户问卷调查显示，未来物价预期指数较上季提高了0.3个百分点。山东社会科学院经济研究所所长张卫国说，物价上涨保持在3%至5%范围，有利于经济的平稳回暖。专家也同时认为，当前物价上涨的动力虽然有所增强，但不会出现快速上涨。交通银行首席经济学家连平说，由于不会出现强刺激货币政策，基础货币供应增速难以像2009年末至2010年初那样高达30%以上，因此对CPI的持续抬升作用相对有限。部分专家表示，物价在低位水平上保持温和上涨，为政策调控及改革提供了较好的物价环境。
综合,2016-02/19,冯鸣当选政协信阳市第四届委员会主席,□首席记者何正权本报信阳讯昨日上午，大河报记者从信阳市政协四届五次会议举行的第二次大会上获悉，经过投票选举，冯鸣当选为政协信阳市第四届委员会主席，曹新生当选为政协信阳市第四届委员会副主席。
综合,2016-02/19,反映了城市品位的提高,□记者王新昌本报讯随着王宽成功入选“2015年度感动中国人物”，最近3年连续有郑州好人获此殊荣，让社会各界热议起这一“郑州现象”。昨日上午，来自省发展研究中心、省社科院、省委党校以及郑大、河大等高校的10位专家济济一堂，对“郑州现象”进行理论研讨。省发展研究中心主任谷建全认为，“郑州现象”反映了郑州城市品位的提高、人文素质的提升、软环境的优化、城市品牌形象的提升，城市实力的增强。“原来我们省专家经常到外地去考察学习，最近几年全国兄弟省份纷纷来郑州考察学习，我们真正做到了物质文明与精神文明的协调发展。”谷建全说。省社科院副院长刘道兴认为，“郑州现象”的出现与郑州厚重的历史文化密不可分。省委党校哲学教研部主任丁素则表示，“郑州现象”起到了社会联动效应。“我们到安阳、商丘去调研，当地都推荐了很多好人素材，各地好人事迹层出不穷，整个社会已形成了良好的风气。”丁素说。郑州大学教授辛世俊认为，郑州有很好的历史传统文化素材，比如黄帝故里文化、商城文化、嵩山文化等，还有一些新的文化亟待挖掘。郑州大学教授纪德尚从人学领域解释了“郑州现象”。他认为这是社会发展的主流，优秀传统文化与时代精神结合的产物，形成了人心向善的人学精神。河南大学教授马进举、黄河科技学院教授赵会利、郑州师范学院教授王永恒、市委党校教授赵林、中州大学教授张豪等也进行了发言。
今日关注,2016-02/19,涉破坏环境犯罪 454人被提起公诉,□记者段伟朵通讯员周庆华核心提示|“如果地球上连一滴干净的水、一口新鲜的空气都没有，挣再多的钱，也是死路一条！”近日，以环保为主题的爱情喜剧《美人鱼》热映，一句看似“幼稚”的台词，却再度引发众人对环保的重视。从电影童话回归现实生活，破坏环境资源犯罪将受到严惩。18日上午，郑州市检察院召开加强生态环境司法保护新闻发布会，郑州市人民检察院新闻发言人、市院副检察长宋楠公布了两年来郑州市检察机构办理的涉及生态环境刑事案件的10起典型案例。【痛心】谋取一己私利，对环境“下黑手”在通报的十起典型案例中，不同案例有着不同的特点，记者就此特意选取了其中的四起典型案例。典型案例1小作坊“毒气”熏天致学校停课生产过程中释放“毒气”，导致附近的一个学校停课数天，这是新郑市和庄镇上一个“藏身”废弃厂房的沥青加工点。胡留灿、郭广俊两人自2013年4月起开始在此生产，在未采取任何防腐蚀、防渗透等措施的情况下，将废水排放到3个土坑中，造成严重污染。“每次现场调查完回到单位，嗓子特别干疼，需要不停喝水。”新郑市检察院侦查监督科副科长张丽君是该案承办人，她告诉记者，该作坊方圆几里都会受到废气、废水的影响，附近一所小学直接被迫停课数天。“从外面看，就是个荒废的厂房，具有很强的隐蔽性，但其‘废气’威力太强大，‘出卖’了这个黑窝点。”典型案例2现实版“光头强”滥伐313株杨树动画片《熊出没》讲述了狗熊保护森林的故事，现实中也有“光头强”。2014年11月10日至11日，仅仅2天时间，中牟县大孟镇枣林朱村村民李河水、樊同军两人，在没有获林业部门批准、没有办理林木采伐许可证的情况下，用油锯将雁鸣湖镇岳庄村313株杨树进行了砍伐。典型案例36根象牙制品被偷运至河南亚洲象是亚洲现存的最大陆生动物，国家一级重点保护动物，我国的野生象数量稀少，屡遭猎杀。2013年7月，新密市的马战月向福建省仙游县的郑文滨联系购买象牙制品。很快，6根象牙制品从南方被偷运至河南，“藏身”马战月经营的茶叶店内，随后被公安机关查获。经鉴定，这6根象牙制品由亚洲象或非洲象象牙加工而成（非洲象，是列入《濒危野生动植物种国际贸易公约》的物种，严禁贸易，在中国参照国家一级重点保护动物标准执行），价值共计人民币797506元。典型案例4100多亩基本农田“变身”仓库占用基本农田5亩以上就属于刑事犯罪，但郑州市管城回族区一块100多亩的基本农田被改建成了仓库，对外出租，且仅被当地监管部门“小惩小戒”。这背后，藏着啥“猫腻”？“得到当地群众举报后，我们意识到这个事情不简单。”郑州市管城回族区检察院反渎职侵权局副局长荣江洁介绍，如果如此明显的违法建筑可以存在，说明建设方已经“打通”了多道“机关”。“要打破这个‘利益共同体’，才能找出‘破绽’。”荣江洁说，当检察机关督促当地政府拆掉这处违法建筑后，多方当事人的供述让背后“猫腻”曝光：建设方朱广平等人对各方实施贿赂，因此，管城回族区国土资源局土地监察中队原中队长时民航、原副中队长陈杰明知其违法占地，却没有向公安机关移交这个犯罪线索，甚至伪造“假文书”，将100多亩基本农田“化整为零”，找不同的人员来“领罚”，且每块均低于5亩这个刑事犯罪“警戒线”。经鉴定，朱广平等人非法行为造成国家土地复耕费用损失280余万元。【严惩】对环境“下黑手”罚钱又获刑破坏生态环境，就要受到严惩。为保护郑州碧水蓝天，郑州市检察院2015年出台《关于发挥检察职能服务全市生态文明建设和食品药品安全的若干意见》，制定18项具体措施，充分发挥惩治、预防、监督等职能作用，依法严厉打击各类涉及环境资源的刑事犯罪。咋罚？上述4个令人痛心的案例，涉案人员被罚钱又获刑。其中，违法生产沥青的胡留灿等人，被新郑检察院提起公诉，最终被判刑9个月，处罚金3万元；滥伐树木的李河水被中牟县检察院提起公诉，被法院判处有期徒刑1年零3个月，缓刑1年零6个月，处罚金1000元；非法收购、出售象牙的马战月被郑州市惠济区检察院提起公诉，最终被法院判处有期徒刑10年零3个月，并处罚金15万元；徇私舞弊不移交刑事案件的原中队长时民航，则被判处有期徒刑1年。4起案例中其他相关涉案人员，也得到了应有的法律制裁。【数据】两年来454人破坏环境被提起公诉上述4起案例，只是近年来郑州市检察机构办理的涉及生态环境刑事案件的一个“缩影”。记者从发布会现场了解到，2014年1月至2015年12月，郑州全市检察机关对涉嫌破坏环境犯罪的454人提起公诉；共查办生态环境保护领域职务犯罪13件23人，其中，贪污贿赂犯罪案件9件9人，渎职侵权犯罪案件4件14人。此外，全市检察机关开展了为期两年的破坏环境资源犯罪专项立案监督活动，共监督立案破坏环境资源犯罪41件64人。相关链接其余6起典型案例是这些！公布的10起典型案例，是从全市检察机关2014年以来办理的400余起涉及生态环境刑事案件中遴选出来，具有代表性、典型性、警示性，涉及破坏环境资源保护的刑事犯罪等。其余6起案例分别是：牛志军等四人非法占用农用地案；田增台等三人挪用公款窝案；杨庆洲、王永峰违法发放林木采伐许可证受贿案；马元朝等四人玩忽职守、滥用职权案；王萌等五人玩忽职守案；许永记滥用职权、受贿案。
社会,2016-02/19,被救的娃娃出院了举手敬礼谢恩人,□记者蔡君彦实习生张翠怡文记者许俊文摄影本报讯还记得春节前失足坠入30多米深的枯井、被困19小时后被成功救出的2岁男孩吴梓钰吗？他前天出院了！昨天，小梓钰的爷爷、爸爸和妈妈带着他拿着一面锦旗，向危难时刻“支招”营救的郑州市红十字水上义务救援队谢恩。在救援队队长牛振西的怀抱，右上臂活动仍有障碍的小梓钰，举起左手给恩人敬礼。双手敬上锦旗，道谢的话刚说出口，又“扑通”一声跪地……昨天上午，在郑州市金水路中青大厦21楼，吴梓钰的爷爷、爸爸热泪盈眶，大礼答谢郑州市红十字水上义务救援队对孩子的救命之恩。“快起来！”牛振西赶忙拉对方起身，又把小梓钰抱到怀里，听见孩子说“爷爷好”，牛振西乐得合不拢嘴。“给爷爷敬个礼！”听了家人的话，小家伙儿刷地举手左手“敬礼”，旁边多位救援队队员看了，激动得使劲儿鼓掌。这一幕，要从一场揪心的营救说起——2月3日下午，2岁多的吴梓钰，坠入荥阳市广武镇广武村村口绿化带中的一口30多米深枯井中。当地公安干警、消防官兵、医护人员、矿山救援队、郑州市红十字水上义务救援队和广武镇的机关干部300多人，先后赶到现场展开营救。经过18个小时的紧张救援，被困井下19个小时的吴梓钰安全脱险。孩子的父亲吴星说，意外发生后，为救出孩子，尝试了多种方法。危难之时，救援队队长牛振西等人根据长期积累和借鉴来的打捞经验，提出了使用往井下送铁钩的方法，在多方协助下，经过20多次尝试，最终用钩子成功钩住孩子的衣服，把孩子顺利救出。据家人介绍，孩子救出后经医院检查，心脏、肝脏、右上肢神经损伤，春节期间，小梓钰一直住院治疗，前天刚出院。吴天贵说，目前，孩子的右上臂仍没有完全恢复，需要进一步治疗。昨天上午，荥阳市广武镇镇长张佳涛、镇武装部长杨军营为救援队送来1万元慰问金。“现在不少农村有废弃的枯井，井深，井口又小，一旦有人坠井，救援困难特别大。”牛振西呼吁社会各界多加注意，尽可能多加防范，避免此类事故的发生。线索提供张黎路宽
